Word_count.txt:
359 428 535 1617 2848
mij 0 4 0 0 0
gem 0 5 0 0 0
oilse 0 20 0 0 0
thai 0 3 0 4 0
ccc 0 54 0 1 0
yemen 0 4 0 0 0
yera 0 1 0 0 0
drought 0 46 0 0 0
irrig 0 13 0 0 0
fertil 0 3 0 1 1
dormanc 0 7 0 0 0
anhui 0 4 0 0 0
incomplet 0 1 0 2 0
heaviest 0 5 0 0 0
allevi 0 1 2 0 0
guangdong 0 5 1 0 0
orlean 0 5 0 0 0
westwego 0 2 0 0 0
3 0 8 9 21 47
myrtl 0 2 0 0 0
grove 0 2 0 1 0
0 0 13 0 0 1
growmark 0 9 0 0 0
bung 0 2 0 0 0
destrehan 0 4 0 0 0
peavey 0 5 0 0 0
elmo 0 2 0 0 0
terr 0 2 0 0 0
haut 0 2 0 0 0
soy 0 1 0 0 0
asa 0 2 2 0 2
9 0 3 17 15 13
flood 0 19 2 1 0
human 0 2 0 0 1
civil 0 5 2 3 5
bhagat 0 2 0 0 0
fci 0 2 0 0 2
feed 0 72 0 5 2
warehous 0 3 0 1 7
durum 0 21 0 0 0
cam 0 3 0 0 1
melvin 0 3 0 0 0
sim 0 6 0 0 1
feedgrain 0 50 0 0 0
robbin 0 2 0 1 2
cert 0 20 0 0 0
recogn 0 3 3 4 6
pik 0 22 0 1 0
roll 0 7 6 1 9
dan 0 11 0 0 0
glickman 0 28 0 0 0
ottawa 0 4 0 4 0
copper 0 1 0 6 17
comnon 0 1 0 0 0
prison 0 1 1 0 0
boundari 0 2 1 0 0
fob 0 26 1 0 0
bracket 0 4 1 0 0
66 0 2 1 3 27
roast 0 1 0 0 0
groundnutse 0 3 0 0 0
520 0 2 0 0 3
410 0 1 0 0 0
385 0 1 0 0 3
355 0 1 3 0 2
365 0 1 0 0 1
pellet 0 1 0 0 0
164 0 2 0 0 0
162 0 1 0 0 0
onward 0 2 0 1 0
161 0 1 0 2 1
159 0 1 0 1 1
potato 0 5 0 0 0
pigmeat 0 2 0 0 0
pig 0 3 0 0 0
129 0 2 3 1 1
gafta 0 4 0 0 0
157 0 1 0 0 4
soymeal 0 7 0 0 0
carcas 0 1 0 0 0
201 0 1 0 1 0
lyng 0 76 0 0 0
eep 0 66 0 0 0
topic 0 3 2 2 0
1500 0 3 0 0 0
est 0 5 3 15 3
knwo 0 1 0 0 0
dole 0 16 0 0 0
mull 0 3 1 13 1
ethanol 0 5 0 1 2
rural 0 8 2 1 0
agribusi 0 2 0 0 2
gatt 0 5 0 0 0
imbal 0 2 27 1 1
farmland 0 14 0 3 0
input 0 1 0 1 0
ldc 0 1 0 0 1
strife 0 1 0 0 0
varieti 0 8 1 13 3
tropic 0 1 0 0 2
adapt 0 1 3 1 0
veget 0 14 0 1 1
constitut 0 1 1 7 0
coverag 0 7 0 1 5
elig 0 25 0 2 0
scheudl 0 1 0 0 0
road 0 2 0 1 3
dig 0 1 0 0 1
canal 0 4 0 0 2
cbt 0 29 0 0 0
renov 0 7 0 3 0
upheav 0 1 0 0 0
midamerica 0 4 0 0 0
karsten 0 1 0 0 0
mahlmann 0 1 0 0 0
sladoj 0 3 0 0 0
conceiv 0 2 0 1 0
earliest 0 1 0 2 1
crowd 0 2 0 0 0
pit 0 2 2 1 0
adjoin 0 1 0 1 1
corridor 0 1 1 0 0
midam 0 4 0 0 0
quadrant 0 1 0 0 0
architectur 0 1 0 3 1
frame 0 1 0 1 0
vacat 0 1 0 2 0
simultan 0 1 1 1 1
driven 0 2 2 0 0
shame 0 1 0 0 0
properli 0 1 0 1 0
forego 0 6 0 0 0
92 0 14 0 1 17
defici 0 38 0 3 1
prematur 0 4 1 0 2
decoupl 0 16 0 0 0
delink 0 1 0 0 0
unequivoc 0 1 0 0 0
rudi 0 4 0 0 0
boschwitz 0 9 0 0 0
cosponsor 0 1 0 0 0
hay 0 2 0 5 0
graze 0 3 0 0 0
tenant 0 2 0 0 1
bia 0 1 2 0 0
cattlemen 0 1 0 0 0
confus 0 2 5 1 5
larri 0 1 1 4 1
thou 0 10 0 0 0
resurrect 0 2 0 0 0
glenn 0 3 0 0 0
english 0 9 3 0 1
stenholm 0 4 0 0 0
collect 0 5 1 4 2
vocal 0 1 0 0 0
wari 0 2 7 1 1
gene 0 2 0 1 0
moo 0 3 0 0 0
tom 0 7 0 2 1
foley 0 2 0 0 0
signup 0 24 0 0 0
francoi 0 1 0 0 0
guillaum 0 7 0 0 0
flatli 0 1 3 0 0
shorten 0 1 1 3 1
fnsea 0 3 0 0 0
syndicat 0 1 0 0 0
dexploit 0 1 0 0 0
agricol 0 1 0 3 0
spiral 0 1 0 0 0
sporad 0 1 0 0 0
milk 0 5 0 0 1
reorganis 0 1 0 1 10
warm 0 14 0 0 0
applaus 0 1 0 0 0
smooth 0 1 4 0 0
compensatori 0 3 0 0 0
mca 0 4 0 13 2
lacomb 0 3 0 0 0
felt 0 3 4 4 6
indebted 0 1 0 3 1
396 0 1 0 0 0
older 0 2 0 1 2
reliabl 0 1 0 0 2
rouen 0 6 0 0 0
freight 0 26 1 17 5
morocco 0 9 0 0 0
poland 0 9 0 0 0
israel 0 8 1 1 1
colza 0 2 0 0 0
flour 0 29 0 2 0
sudan 0 6 12 0 0
tanzania 0 5 0 0 0
mauritania 0 1 0 0 0
censu 0 2 0 0 0
sown 0 18 0 0 0
ireland 0 5 0 4 1
rape 0 3 0 0 0
rebat 0 27 0 0 1
ecu 0 35 9 0 0
explod 0 3 0 0 0
burlington 0 3 0 4 3
iowa 0 11 1 0 3
decatur 0 2 0 1 0
doug 0 1 0 1 0
snyder 0 1 0 16 1
immediatley 0 1 0 0 0
grown 0 13 5 4 2
oat 0 18 0 8 2
certifi 0 2 0 1 0
inadvertantli 0 1 0 0 0
reconstitut 0 2 0 2 0
fy 0 1 0 0 0
everth 0 1 0 0 0
chop 0 1 1 0 0
210 0 8 0 1 1
vs 0 30 0 0 9190
192 0 2 0 0 0
moisten 0 1 0 0 0
topsoil 0 3 0 0 0
jiangsu 0 2 0 0 0
hebei 0 3 0 0 0
hunan 0 3 0 0 0
jiangxi 0 3 0 0 0
fujian 0 2 1 0 2
zheziang 0 1 0 0 0
wet 0 6 2 5 0
moistur 0 20 0 0 0
guanxi 0 1 0 0 0
guandong 0 1 0 0 0
portland 0 16 0 9 3
duti 0 19 0 10 5
dormant 0 5 0 0 0
minut 0 3 3 1 1
capitol 0 2 0 0 7
pampa 0 7 0 0 0
290 0 1 0 0 2
corrient 0 3 0 0 0
entr 0 4 0 0 0
mision 0 3 0 0 0
formosa 0 3 0 0 0
chaco 0 3 0 0 0
soil 0 7 0 0 0
northwestern 0 1 0 0 1
alejandro 0 2 0 0 0
armendariz 0 1 0 0 0
ernesto 0 1 0 0 0
figuera 0 1 0 0 0
easili 0 3 4 3 0
uproot 0 1 0 0 0
slowli 0 3 1 2 4
iwc 0 20 0 0 0
534 0 1 0 1 0
86 0 1 0 1 20
173 0 1 1 3 0
169 0 1 1 0 1
sow 0 7 0 2 0
frost 0 9 0 5 3
resown 0 1 0 0 0
cultiv 0 2 0 1 0
endof 0 1 0 0 0
167 0 1 2 0 1
seaway 0 14 0 1 1
lawrenc 0 3 0 4 3
mode 0 2 0 0 0
montreal 0 1 0 2 8
ontario 0 6 0 17 0
welland 0 2 0 0 0
eri 0 1 0 0 1
blair 0 2 0 0 0
rollback 0 1 0 0 1
roman 0 1 0 0 0
gralewicz 0 1 0 0 0
branch 0 2 9 41 19
concili 0 1 0 0 0
hammer 0 1 0 5 0
walkout 0 1 0 0 1
prolong 0 2 1 1 0
disaster 0 1 0 0 0
gay 0 1 0 0 0
hemsley 0 3 0 0 0
85 0 10 7 10 27
shipper 0 1 0 1 0
pl 0 13 0 1 0
480 0 18 1 1 0
sri 0 19 0 0 0
lanka 0 18 0 0 0
overnight 0 9 23 7 0
lobbi 0 2 0 0 0
cocer 0 2 0 0 0
fran 0 2 0 0 0
andriessen 0 4 0 0 0
precaut 0 1 0 0 0
midwest 0 11 0 8 4
barg 0 14 0 0 0
midmississippi 0 2 0 0 0
toledo 0 7 0 5 0
und 0 12 0 9 10
unc 0 12 0 0 0
cincinnati 0 3 0 3 0
ovr 0 7 0 0 0
haven 0 1 0 0 0
dn 0 7 0 0 0
seneca 0 1 0 0 0
davenport 0 2 0 0 0
ua 0 2 0 0 0
cedar 0 1 0 0 0
hrw 0 3 0 0 0
lb 0 13 0 0 0
57 0 6 1 6 46
dp 0 3 0 0 0
ne 0 1 0 0 3
nc 0 1 0 1 2
countervail 0 5 0 0 0
tribun 0 4 0 5 0
starch 0 3 0 7 0
maker 0 2 1 59 12
hondura 0 11 0 0 0
edibl 0 5 0 0 0
vongarlem 0 2 0 0 0
rotat 0 4 0 1 0
vangarlem 0 1 0 0 0
portugues 0 7 0 6 0
portug 0 13 0 4 0
alvaro 0 2 0 0 0
barreto 0 6 0 0 0
epac 0 22 0 0 0
readmit 0 1 0 0 0
publica 0 2 0 0 0
abastecimento 0 2 0 0 0
cereai 0 2 0 0 0
unfair 0 5 1 4 0
martyr 0 1 0 0 0
lisbon 0 3 0 0 0
treati 0 2 0 2 0
unjustifi 0 3 0 0 0
yeutter 0 13 29 2 0
clayton 0 5 7 14 0
inconceiv 0 1 0 0 0
gluten 0 4 0 0 0
irish 0 2 1 5 2
authoris 0 4 4 5 6
kahn 0 4 0 1 0
ostens 0 3 0 1 0
paradox 0 1 0 0 0
necess 0 1 2 2 1
scientist 0 1 0 0 0
reintensif 0 1 0 0 0
nino 0 16 0 0 0
tea 0 4 1 0 5
planter 0 1 0 5 1
meteorologist 0 6 0 0 0
wen 0 4 0 4 0
wei 0 3 0 0 4
po 0 3 0 0 0
hong 0 4 4 29 35
kong 0 4 4 32 38
adequ 0 15 9 6 4
henan 0 6 0 0 0
sichuan 0 9 0 0 0
store 0 17 0 91 127
household 0 1 3 4 6
yangtz 0 3 0 0 0
celsiu 0 1 0 0 0
harbin 0 1 0 0 0
plantat 0 1 0 0 1
queensland 0 5 0 6 1
meteorolog 0 3 0 0 0
bureau 0 12 3 2 1
heighten 0 2 0 0 1
memori 0 2 0 15 3
occurr 0 2 0 0 2
christ 0 1 0 0 0
child 0 1 0 0 1
christma 0 1 0 0 2
bear 0 3 7 12 14
archipelago 0 1 0 0 0
mingl 0 1 0 0 0
cold 0 29 0 1 1
equilibrium 0 1 4 0 0
collid 0 1 0 0 0
deflect 0 1 0 0 0
strip 0 1 0 1 2
raini 0 2 0 0 0
death 0 2 0 0 0
weed 0 1 0 0 0
spray 0 1 0 1 0
nitrogen 0 2 0 0 1
insect 0 13 0 0 0
fair 0 5 1 32 5
84 0 1 0 5 15
excel 0 4 2 2 13
amid 0 3 6 3 0
subsoil 0 1 0 0 0
fieldwork 0 4 0 0 0
dairi 0 8 0 4 13
543 0 1 0 0 0
182 0 1 0 0 2
148 0 1 12 0 2
srw 0 8 0 0 0
protein 0 2 0 5 1
brownsvil 0 1 0 0 0
nichemen 0 2 0 0 0
loui 0 8 0 6 0
dreyfu 0 7 0 0 1
loiu 0 1 0 0 0
apirl 0 1 0 0 1
brown 0 2 1 35 23
rapese 0 9 0 0 0
minneapoli 0 6 0 3 2
edgar 0 1 0 1 0
pye 0 3 0 2 0
ukasta 0 2 0 0 0
dinner 0 1 2 2 0
glasgow 0 1 0 0 0
fat 0 1 0 3 0
tooth 0 1 0 0 0
nail 0 1 0 0 0
contest 0 1 0 8 3
fefac 0 2 0 0 0
malt 0 9 0 0 1
rahr 0 1 0 0 0
awf 0 5 0 0 0
wale 0 3 0 3 1
fallow 0 2 0 0 0
paddock 0 1 0 0 0
statutori 0 1 0 1 1
puls 0 1 0 0 0
victoria 0 2 0 1 0
seedl 0 1 0 0 0
transplant 0 1 0 1 0
hainan 0 1 1 0 0
peanut 0 3 0 0 0
provinci 0 1 0 3 1
upland 0 2 0 8 0
permiss 0 1 0 7 0
agreeement 0 1 0 0 0
propon 0 3 0 0 0
staffer 0 2 0 0 0
1530 0 1 0 0 0
bode 0 1 1 0 0
voic 0 6 0 4 1
equit 0 2 0 7 5
atmospher 0 1 1 1 0
ignor 0 2 4 1 0
arland 0 1 0 0 0
stangeland 0 4 0 0 0
berth 0 3 0 0 0
bahia 0 3 0 0 0
blanca 0 3 0 0 0
tonnag 0 8 0 0 5
onto 0 6 3 3 0
subproduct 0 5 0 0 0
sunflowerse 0 8 0 0 0
millet 0 1 0 0 0
enrol 0 33 0 0 0
611 0 1 0 0 0
tobacco 0 3 0 4 6
285 0 1 1 0 1
nonprogram 0 1 0 0 0
tallow 0 3 0 0 0
transship 0 2 0 0 0
stow 0 2 0 3 0
trim 0 3 2 4 4
euqival 0 1 0 0 0
paddi 0 15 0 0 0
nakhon 0 1 0 0 0
ratchasima 0 1 0 0 0
chaiyaphum 0 1 0 0 0
khon 0 1 0 0 0
kaen 0 1 0 0 0
mahasarakam 0 1 0 0 0
iri 0 2 0 2 0
resend 0 3 0 0 0
pin 0 1 0 0 1
pryor 0 3 0 0 0
arkansa 0 2 0 2 4
hesit 0 1 0 1 0
managa 0 1 0 0 0
madigan 0 1 0 0 0
w 0 1 0 18 3
corport 0 1 0 0 2
dark 0 1 0 1 0
acico 0 3 0 0 0
miguel 0 2 0 30 0
ascensao 0 2 0 0 0
profil 0 1 2 1 2
shortli 0 4 11 18 5
precis 0 3 7 8 6
standstil 0 2 0 7 1
resumpt 0 1 2 0 1
sunshin 0 2 0 0 4
ivori 0 2 0 0 0
fraternit 0 1 0 0 0
matin 0 1 0 0 0
deadlin 0 3 4 16 2
sitter 0 2 0 0 0
asc 0 20 0 0 2
asca 0 1 0 0 0
milton 0 2 0 0 2
hertz 0 5 0 0 0
workload 0 2 0 0 0
cap 0 4 2 5 6
erod 0 4 0 0 2
cropland 0 3 0 0 0
grassley 0 2 0 0 0
doubt 0 2 21 12 13
dant 0 1 0 0 0
caputo 0 2 0 0 0
tangibl 0 2 0 5 2
fisheri 0 3 0 0 0
bracera 0 2 0 0 0
shultz 0 31 0 1 0
trip 0 5 3 0 0
impend 0 3 0 1 0
customari 0 2 0 0 0
reenter 0 2 0 0 0
torrenti 0 2 0 0 0
270 0 1 1 2 3
contrast 0 3 6 0 2
milo 0 2 0 0 0
lade 0 1 0 0 0
yuan 0 4 3 0 0
hui 0 1 0 0 0
bao 0 1 0 0 0
shanxi 0 2 0 0 0
shandong 0 1 0 0 0
snowfal 0 1 0 0 0
bumper 0 2 1 0 0
93 0 1 1 3 11
391 0 4 0 0 0
burmes 0 1 0 0 0
burma 0 2 0 0 0
basket 0 3 17 0 0
green 0 2 0 8 10
introduct 0 4 8 3 15
tapioca 0 1 0 0 0
cornglutenfe 0 1 0 0 0
cornfeedm 0 1 0 0 0
citruspulp 0 2 0 0 0
sunmeal 0 2 0 0 0
netherland 0 8 6 4 2
guilder 0 4 65 5 48
redempt 0 6 0 5 11
240 0 2 3 12 4
catalog 0 1 0 1 2
multilater 0 2 2 0 0
patrick 0 4 1 3 5
leahi 0 4 0 0 0
vermont 0 1 0 0 2
dissolut 0 7 0 0 1
pullout 0 1 0 0 0
demis 0 3 0 0 0
scrambl 0 1 2 0 1
iron 0 1 1 6 3
1960 0 1 0 0 0
mulligan 0 6 0 0 0
99 0 3 0 1 16
agriindustri 0 1 0 0 0
indianapoli 0 1 0 2 0
goldkist 0 1 0 0 0
atlanta 0 1 0 18 1
midstat 0 1 0 0 0
moin 0 1 0 2 2
observor 0 1 0 0 0
band 0 1 107 1 0
cohes 0 1 0 0 0
hane 0 2 0 0 0
crunch 0 1 0 0 0
folk 0 1 0 0 1
conveni 0 1 0 6 6
sorri 0 1 0 0 0
waysid 0 1 0 0 0
steven 0 1 0 2 7
cavanaugh 0 2 0 0 0
ought 0 1 4 2 1
healthi 0 2 4 1 4
patronag 0 3 0 0 0
refund 0 5 0 0 7
translat 0 2 1 2 8
natl 0 2 0 0 0
avg 0 4 0 0 663
iv 0 6 0 59 0
v 0 7 0 2 0
vi 0 3 0 0 0
iii 0 2 0 5 4
oct 0 1 0 1 4
mail 0 1 0 6 10
von 0 3 4 4 0
garlem 0 3 0 0 0
ratio 0 8 7 6 19
markedli 0 4 0 0 0
upset 0 1 3 1 0
omb 0 2 0 0 0
poultri 0 3 0 7 1
foodstuff 0 1 0 0 0
agent 0 8 1 8 3
layday 0 4 0 0 0
1200 0 2 2 0 0
edt 0 2 0 1 0
focus 0 1 6 7 7
sww 0 2 0 0 0
memphi 0 2 0 4 2
peoria 0 2 0 0 0
denver 0 2 0 4 1
evansvil 0 1 0 0 0
lubbock 0 1 0 0 0
lou 0 2 0 0 1
seattl 0 2 0 9 0
stockton 0 2 0 0 0
duluth 0 2 0 0 0
tex 0 2 0 1 0
brli 0 1 0 0 1
rye 0 3 0 0 0
soyb 0 1 0 0 0
sorg 0 1 0 1 0
evnsvll 0 1 0 0 0
cinci 0 1 0 0 0
mpl 0 1 0 0 0
phil 0 1 1 2 0
kc 0 1 0 0 0
lo 0 2 0 38 4
lubbck 0 1 0 0 0
uncommit 0 1 0 0 0
lugar 0 4 0 0 0
amstutz 0 32 0 0 0
distinct 0 1 0 0 1
deng 0 5 0 0 0
xiaop 0 1 0 0 0
ming 0 1 0 1 0
pao 0 1 0 0 0
proper 0 3 2 2 1
tennesse 0 1 0 2 1
kentucki 0 1 0 4 4
missouri 0 6 0 3 1
ron 0 3 0 1 0
burgess 0 4 0 0 0
tinker 0 2 4 0 0
lightli 0 1 0 0 0
drexel 0 2 0 18 7
burnham 0 2 0 14 8
dale 0 3 0 3 0
gustafson 0 3 0 0 0
els 0 3 3 8 3
somebodi 0 3 0 0 0
your 0 2 5 6 0
somewher 0 2 2 0 0
schultz 0 4 0 1 0
housewif 0 2 0 0 0
retali 0 5 8 2 0
regardless 0 3 3 0 1
266 0 1 1 1 0
therebi 0 3 0 3 1
pl480 0 3 0 0 0
nawg 0 10 0 0 0
solid 0 1 1 3 5
mutual 0 1 2 34 8
alik 0 1 2 0 0
valencia 0 2 0 0 0
reexport 0 1 0 0 0
mge 0 5 0 0 0
hfc 0 1 0 0 0
fructos 0 7 0 0 0
pat 0 7 0 4 0
henderson 0 2 0 3 4
spokesperson 0 1 0 2 1
commonli 0 2 0 0 0
drink 0 2 0 6 1
beverag 0 4 0 11 4
hf 0 1 0 0 3
0900 0 1 1 1 0
1315 0 1 0 0 0
cst 0 2 0 0 0
processor 0 1 0 1 2
bottler 0 1 0 0 0
higashi 0 2 0 0 0
gaug 0 2 3 0 0
isao 0 1 0 0 0
nakamura 0 2 0 0 0
dream 0 1 0 0 0
desin 0 1 0 0 0
specifi 0 2 6 15 2
interemdi 0 1 0 0 0
danforth 0 4 0 8 3
christoph 0 1 0 3 1
austin 0 1 0 0 0
schlick 0 2 0 0 0
leve 0 1 0 0 0
melnikov 0 10 0 0 0
sept 0 2 2 4 7
denmark 0 1 0 1 0
syrian 0 1 0 0 0
syria 0 4 0 0 0
81 0 1 0 3 27
unemploy 0 1 4 0 0
inferior 0 1 0 0 0
wil 0 1 2 2 1
distinguish 0 1 0 0 0
occas 0 1 2 3 0
bread 0 10 0 0 1
denomin 0 1 6 0 1
193 0 1 0 1 0
proof 0 1 3 0 1
chernobyl 0 4 1 0 1
kremlin 0 1 0 0 0
contamin 0 2 0 0 0
zair 0 2 1 0 0
hgca 0 5 0 0 0
provision 0 4 5 1 8
nil 0 32 1 1 150
nonbind 0 1 0 1 0
retaliatori 0 2 0 1 0
durenberg 0 1 0 0 0
counselor 0 6 0 0 0
lof 0 1 0 0 0
displac 0 3 0 0 0
midwestern 0 2 0 1 0
forfeitur 0 3 0 0 0
outstrip 0 1 2 0 1
insignific 0 2 4 0 1
111 0 2 1 2 3
prev 0 8 0 0 0
apr 0 7 0 0 0
linse 0 3 0 0 0
sunoil 0 1 0 0 0
jun 0 2 0 0 0
linoil 0 1 0 0 0
jul 0 1 0 0 0
gail 0 2 0 0 0
martel 0 9 0 0 0
ef 0 1 0 2 0
disastr 0 2 0 1 1
seed 0 10 0 9 1
germin 0 3 0 0 0
ukrain 0 4 0 0 0
caucasu 0 2 0 0 0
bitter 0 1 0 0 0
snow 0 18 3 0 1
pastur 0 2 0 0 0
begun 0 3 7 8 2
wool 0 2 0 1 0
clarifi 0 2 3 3 0
tantamount 0 1 0 0 0
constru 0 1 0 0 0
inappropri 0 1 1 1 1
rough 0 3 0 0 1
1300 0 1 3 1 0
cdt 0 1 0 0 0
offeror 0 1 0 1 0
tranch 0 1 0 0 1
keen 0 3 5 2 0
represent 0 1 0 10 1
halv 0 1 0 2 2
overst 0 2 1 0 0
unsold 0 1 0 0 0
nervou 0 2 4 2 1
buoyant 0 1 2 1 3
noteworthi 0 1 0 0 0
rebuf 0 1 0 4 0
adamantli 0 1 0 0 0
obstacl 0 3 6 3 0
overtur 0 1 0 0 0
lobbyst 0 2 0 0 0
commentari 0 1 0 0 0
taught 0 1 0 0 0
necessarili 0 1 14 1 2
timechart 0 7 0 0 0
panamax 0 3 0 0 0
biffex 0 5 0 0 0
dw 0 3 0 0 0
bunker 0 1 0 0 0
skew 0 2 0 0 0
roughli 0 2 2 3 4
worthwhil 0 2 0 1 0
forfeit 0 2 0 2 0
lieu 0 1 0 1 2
byproduct 0 1 0 0 0
overreact 0 1 0 0 0
kika 0 1 0 0 0
garza 0 1 0 0 0
modifi 0 2 3 3 2
pasta 0 3 0 0 0
slap 0 1 1 0 0
sindt 0 6 0 0 0
merchandis 0 1 1 6 10
accuraci 0 1 0 1 0
ralph 0 4 0 0 1
klopfenstein 0 7 0 0 0
ofici 0 1 0 0 0
duplic 0 1 0 1 1
eros 0 1 2 0 4
iac 0 4 0 0 0
kerin 0 4 0 0 0
durat 0 1 1 0 0
underwrit 0 3 1 12 9
wheatgrow 0 1 0 0 0
semolina 0 8 0 0 0
multifood 0 2 0 0 1
shanghai 0 9 0 2 8
arabl 0 6 0 0 0
factori 0 7 1 5 1
suburb 0 2 0 0 0
asid 0 3 6 4 5
chu 0 1 0 0 0
jinfeng 0 2 0 0 0
fengb 0 1 0 0 0
unpaid 0 1 0 2 0
pan 0 1 0 1 12
huashan 0 1 0 0 0
zhejiang 0 3 1 0 0
scienc 0 1 0 11 13
famili 0 7 1 45 6
siphon 0 1 0 1 0
bureaucraci 0 1 0 0 1
corrupt 0 2 0 0 0
enthusiasm 0 2 0 0 0
unsatisfactori 0 1 2 0 5
pravda 0 2 0 0 0
theft 0 1 0 0 1
roubl 0 1 0 0 0
republ 0 4 0 22 6
kazakhstan 0 1 0 0 0
oust 0 1 0 1 0
veteran 0 1 0 0 0
dinmukham 0 1 0 0 0
kunayev 0 1 0 0 0
gennadi 0 1 0 0 0
kolbin 0 1 0 0 0
tass 0 1 0 0 0
grigori 0 1 0 0 0
zolotukhin 0 2 0 0 0
alexand 0 2 0 1 2
budyka 0 1 0 0 0
reprimand 0 1 0 0 0
northward 0 1 0 0 0
eastward 0 2 0 0 0
volga 0 1 0 0 0
adjac 0 1 0 1 1
black 0 1 7 7 3
quadrupl 0 1 1 0 0
buffer 0 11 0 0 0
malagasi 0 1 0 0 0
corner 0 1 1 0 1
issuanc 0 2 2 5 5
frist 0 1 0 0 0
mandatori 0 1 0 1 2
welfar 0 1 0 0 0
sens 0 3 4 5 0
karn 0 1 0 0 0
convent 0 3 0 6 2
predomin 0 1 0 0 0
fring 0 1 0 1 1
percent 0 1 0 1 1
broker 0 3 26 22 8
fixtur 0 2 0 2 0
tonner 0 8 0 0 0
tilburi 0 1 0 0 0
redeliveri 0 2 0 0 0
skaw 0 1 0 0 0
ceuta 0 2 0 0 0
passero 0 1 0 0 0
gibraltar 0 1 0 3 0
taranto 0 1 0 0 0
severel 0 1 0 0 0
quieter 0 1 0 0 0
plate 0 1 0 2 0
nant 0 1 0 0 0
bag 0 2 0 0 0
immingham 0 2 0 0 0
foyn 0 1 0 0 0
jeddah 0 1 0 0 0
kay 0 7 0 0 6
knowledg 0 5 2 2 0
convey 0 2 0 3 0
delight 0 1 0 0 0
reloc 0 1 0 6 1
interpret 0 2 2 4 1
promin 0 3 1 0 0
fritz 0 2 0 0 2
embarrass 0 1 0 0 0
spurn 0 1 0 0 0
dampen 0 1 4 1 1
chortl 0 1 0 0 0
housew 0 2 0 0 0
wisdom 0 1 0 0 0
forgotten 0 1 1 0 0
pse 0 6 0 0 1
beef 0 9 1 6 0
zealand 0 7 2 21 4
uruguay 0 3 0 0 0
jopl 0 1 0 0 0
familiar 0 1 0 2 4
cazal 0 1 0 0 0
relev 0 1 1 2 0
advisori 0 3 0 11 1
0830 0 1 1 0 1
compos 0 1 1 4 1
advic 0 2 2 5 0
citru 0 3 0 0 0
petit 0 1 0 6 2
reexamin 0 1 0 0 0
forerunn 0 1 0 1 1
compania 0 1 0 0 0
y 0 1 0 5 1
abastecimiento 0 1 0 0 0
cindasa 0 3 0 0 0
peseta 0 2 10 0 2
kilo 0 6 0 0 0
ghent 0 1 0 0 0
absenc 0 2 4 1 3
lamb 0 2 0 2 0
casein 0 2 0 0 0
instruct 0 2 0 2 0
host 0 2 2 0 4
arlan 0 2 0 0 0
countercycl 0 1 0 0 0
miscellan 0 1 0 0 0
416 0 3 1 0 0
reimburs 0 2 0 5 1
apparatu 0 1 0 0 0
substanc 0 1 0 1 0
fiction 0 1 0 0 0
fan 0 1 0 0 0
lobbyist 0 2 0 0 0
ivlev 0 2 0 0 0
amtorg 0 1 0 0 0
lightn 0 5 0 0 1
rod 0 1 0 1 0
expos 0 3 0 0 0
harkin 0 1 0 0 0
anybodi 0 1 1 2 1
bud 0 1 1 2 0
frazier 0 6 0 0 0
balfour 0 1 0 0 0
maclain 0 1 0 0 0
susan 0 2 0 0 0
hackmann 0 6 0 0 0
agrianalysi 0 2 0 0 0
meyer 0 3 1 3 3
bell 0 1 0 23 22
southeastern 0 1 0 6 1
rebuild 0 1 0 4 0
caution 0 1 9 0 4
panelist 0 1 0 0 0
conciliatori 0 1 0 0 0
gestur 0 1 2 0 2
numer 0 1 0 4 1
motiv 0 1 1 2 0
circul 0 2 26 13 1
therbi 0 1 0 0 0
downsid 0 1 2 0 0
inteview 0 1 0 0 0
bomani 0 1 0 0 0
fraction 0 2 1 4 4
grew 0 1 7 2 9
nmc 0 2 0 0 2
rubibira 0 2 0 0 0
silo 0 2 0 0 0
concentr 0 3 3 20 13
dar 0 1 0 0 0
salaam 0 1 0 0 0
arusha 0 1 0 0 0
iringa 0 2 0 0 0
mbeya 0 1 0 0 0
ruvuma 0 1 0 0 0
rukwa 0 1 0 0 0
centigrad 0 4 0 0 0
hubei 0 2 0 0 0
blanket 0 1 1 0 0
jilin 0 1 0 0 0
liaon 0 1 0 0 0
muddi 0 1 0 2 0
arid 0 1 0 0 0
afbf 0 2 0 0 0
kleckner 0 3 0 0 0
89 0 1 0 2 27
undercut 0 1 1 0 0
112 0 1 1 0 0
bwb 0 3 0 0 0
242 0 1 2 1 1
burn 0 2 1 6 1
bancroft 0 1 0 21 0
wooden 0 1 0 0 0
algona 0 1 0 0 0
lone 0 1 0 4 0
coop 0 1 0 0 0
destruct 0 1 0 0 0
nzfe 0 2 0 0 0
icch 0 2 0 0 0
crossbr 0 1 0 0 0
eye 0 1 1 2 6
eager 0 1 1 7 1
gao 0 24 0 0 0
odd 0 1 0 0 1
crowley 0 4 0 5 1
unclear 0 2 2 3 0
pinpoint 0 1 1 0 0
nonrecours 0 2 0 0 0
cbo 0 2 0 0 0
er 0 1 0 1 0
butter 0 3 0 0 0
needi 0 1 0 0 0
chariti 0 1 0 0 0
envisag 0 2 6 1 0
lima 0 1 0 2 0
piura 0 1 0 0 0
pima 0 1 0 0 0
dam 0 1 0 0 0
catch 0 2 0 0 0
cooler 0 1 0 0 0
hoffman 0 3 0 1 0
