Word_dict.txt:
71204 70516 93829 190959 193044
load 8 43 1 2 8
recoveri 17 5 7 3 30
connect 4 2 2 32 22
variou 6 8 8 29 11
defens 7 0 0 36 19
princip 2 1 4 38 17
compris 1 13 25 12 11
brown 0 2 1 36 23
equival 16 7 10 17 11
seri 7 4 8 21 21
confirm 16 11 12 16 6
country' 22 9 18 8 4
ownership 3 0 0 48 10
brokerag 2 0 0 49 10
metal 2 1 7 34 17
middl 27 6 6 6 16
stabilis 7 5 49 0 0
fairchild 1 0 0 56 4
viacom 0 0 0 60 1
came 12 2 20 14 12
tire 1 0 0 55 4
miner 7 0 1 40 12
instead 6 9 16 12 17
met 9 6 16 27 2
opportun 10 3 9 25 13
fundament 7 1 48 3 1
center 6 0 1 33 20
dispos 5 0 0 12 43
fe 0 13 0 46 1
restaur 0 0 0 33 27
coast 29 13 0 15 2
offshor 44 0 5 5 5
ceil 41 2 11 4 1
inc' 3 0 0 48 8
versu 2 14 2 2 39
strengthen 5 5 26 13 10
separ 6 1 2 41 9
list 2 7 3 30 17
itali 1 20 19 17 2
structur 5 8 11 21 14
entir 6 9 4 26 14
famili 0 7 1 45 6
rel 8 7 24 7 12
either 3 4 13 35 3
identifi 6 14 7 25 6
elect 3 0 27 22 6
attribut 2 3 10 2 41
cereal 0 54 0 3 1
em 0 0 56 2 0
governor 2 2 49 3 1
expenditur 26 4 5 0 22
iranian 55 0 0 1 1
proceed 5 9 1 32 10
stop 12 10 19 11 5
gross 12 1 13 3 28
person 5 5 8 29 10
float 9 0 22 18 8
worker 18 5 2 22 9
approxim 3 5 0 28 20
mobil 38 0 0 6 12
morgan 2 0 9 21 24
favor 8 15 2 20 11
week' 8 20 26 2 0
rest 8 8 11 13 16
depreci 1 0 17 0 38
hectar 0 55 0 0 1
sorghum 0 56 0 0 0
broker 0 3 26 19 8
auction 0 0 53 3 0
cyacq 0 0 0 56 0
claim 7 6 3 19 20
link 13 7 16 15 4
iran 47 4 2 2 0
feet 43 1 0 8 3
leader 17 20 8 8 2
movement 9 7 29 2 8
fluctuat 9 4 31 0 11
left 9 11 17 13 5
survey 19 10 19 0 7
afternoon 3 2 45 4 1
refer 10 8 16 17 4
bass 8 0 0 45 2
dollar' 1 0 48 0 6
swap 0 0 48 5 2
attract 8 9 9 25 3
fear 7 10 26 7 4
grade 44 8 0 1 1
fleet 4 0 0 44 6
island 16 5 4 22 7
stabl 11 1 34 1 7
found 12 5 7 23 7
distil 43 0 0 10 1
soft 1 41 3 5 4
via 1 6 31 11 5
ccc 0 53 0 1 0
cpc 0 0 0 44 10
spring 10 36 1 4 2
remark 6 4 37 3 3
preliminari 6 9 3 22 13
though 10 10 12 7 14
greec 40 13 0 0 0
chanc 7 10 24 8 4
oblig 6 5 6 19 17
along 13 13 4 16 7
togeth 6 2 8 27 10
everi 6 7 4 18 18
assum 8 3 3 22 17
matur 1 1 41 7 3
launch 7 4 9 22 11
particularli 9 11 6 10 17
semiconductor 1 0 4 40 8
dri 2 44 4 0 3
sheet 0 0 7 10 36
tanker 51 0 0 0 1
white 25 9 4 14 0
matter 5 13 12 19 3
sun 13 0 0 22 17
repay 13 4 8 17 10
night 22 10 5 14 1
withdraw 9 0 1 33 9
strategi 6 0 6 26 14
subcommitte 6 22 10 14 0
amc 0 0 0 50 2
side 12 4 14 15 6
strateg 21 1 0 18 11
adopt 6 4 15 13 13
indonesia 35 10 6 0 0
cannot 9 6 20 13 3
spot 36 5 10 0 0
significantli 4 6 9 8 24
know 10 8 7 21 5
itself 9 1 10 23 8
remov 7 3 14 19 8
deni 11 6 11 18 5
brazilian 10 5 5 3 28
doubl 4 5 7 11 24
serv 2 5 8 32 4
pension 0 1 5 7 38
subordin 0 0 0 34 17
legisl 10 26 8 3 3
occur 7 6 19 9 9
introduc 5 18 10 7 10
richard 3 24 3 14 6
m 2 0 21 18 9
alli 6 0 7 30 7
round 17 6 23 0 4
monthli 9 9 7 2 23
thing 2 8 12 23 5
integr 1 3 5 32 9
feedgrain 0 50 0 0 0
woolworth 0 0 0 20 30
qtrli 0 0 0 0 50
ton 14 22 0 10 3
join 4 4 17 21 3
mile 26 1 0 6 16
stimul 7 3 38 0 1
river 11 16 0 18 4
big 4 7 15 10 13
appeal 7 7 3 28 4
api 49 0 0 0 0
newli 1 0 7 36 5
johnson 1 6 17 18 7
stand 5 9 19 12 4
tool 7 4 0 36 2
wholli 1 0 0 41 7
moscow 3 44 0 1 1
dart 0 0 0 49 0
yr 0 0 0 0 49
incent 29 7 4 5 3
hour 6 6 21 14 1
favour 10 8 17 11 2
world' 16 7 9 13 3
lehman 4 1 7 34 2
short-term 4 0 28 9 7
recov 12 5 7 8 16
wait 9 14 8 15 2
prove 24 5 9 7 3
halt 17 7 9 9 6
known 6 10 4 22 6
storag 14 23 0 9 2
fact 8 6 14 10 10
compet 1 7 2 33 5
csr 7 0 0 41 0
seem 3 5 29 10 1
david 2 4 8 21 13
resort 2 1 4 40 1
neg 4 9 14 1 20
ohio 2 2 0 34 10
freight 0 26 1 17 4
doubt 0 2 21 12 13
telecom 0 0 0 35 13
qualifi 8 1 0 4 34
petrobra 47 0 0 0 0
refus 12 5 16 13 1
role 10 3 17 13 4
ground 7 7 9 19 5
investig 2 2 0 28 15
hurt 7 11 10 4 15
formal 2 6 9 25 5
decreas 11 13 4 3 16
basic 3 10 13 6 15
enabl 2 6 4 20 15
object 4 8 17 13 5
am 7 0 5 11 24
warn 19 5 15 5 2
technic 8 3 17 10 8
iraq 36 8 1 0 1
whole 11 9 9 9 8
access 3 11 3 23 6
licens 6 2 5 28 5
premium 1 8 0 20 17
drain 1 1 42 0 2
swedish 7 0 1 31 7
drought 0 46 0 0 0
satisfactori 0 0 6 15 25
reform 7 7 13 6 12
extens 11 7 1 22 4
herrington 45 0 0 0 0
job 10 2 14 7 12
violat 7 3 0 28 7
brought 10 8 13 7 7
owner 2 1 0 34 8
realiz 1 2 1 10 31
stage 5 12 8 8 12
partial 5 5 1 13 21
avoid 15 7 10 11 2
respond 6 4 10 18 7
retir 1 4 0 14 26
marin 12 0 3 20 10
justic 3 3 0 37 2
lo 0 2 0 38 5
mutual 0 1 2 34 8
bell 0 1 0 22 22
arbitrag 0 0 2 41 2
peso 0 0 9 27 9
emeri 0 0 0 45 0
comdata 0 0 0 45 0
canada' 8 11 0 13 12
deputi 17 13 9 3 2
aviat 1 0 0 34 9
exxon 37 0 0 5 2
organis 10 5 8 16 5
shift 3 10 22 3 6
reorgan 3 6 0 12 23
depress 8 9 8 4 15
regard 4 5 13 20 2
abil 10 3 3 13 15
spain 2 21 13 7 1
illinoi 1 13 0 16 14
ecu 0 35 9 0 0
entertain 0 0 1 28 15
aerospac 0 0 1 34 9
locat 5 2 2 27 7
regist 4 7 1 11 20
atlant 5 0 0 20 18
suffer 8 10 6 4 15
year-end 3 0 4 11 25
switch 5 24 3 8 3
kansa 3 19 0 18 3
especi 1 6 21 5 10
entitl 4 2 1 24 12
saw 10 4 8 7 14
lot 5 9 11 10 8
k 1 1 0 18 23
portion 3 2 1 25 12
cotton 0 37 0 6 0
f 0 12 0 13 18
fair 0 5 1 32 5
instrument 0 1 15 17 10
lynch 0 2 6 32 3
specialti 0 0 0 25 18
individu 6 7 4 15 10
southwest 5 2 0 25 10
permit 5 8 3 21 5
except 5 4 4 10 19
houston 8 1 0 18 15
ten 2 12 2 14 12
smith 7 1 9 10 15
cross 5 1 5 28 3
elimin 4 7 5 8 18
brazil' 18 3 8 1 12
submit 4 9 2 20 7
renew 11 7 17 6 1
award 7 24 0 2 9
sa 3 0 0 28 11
opinion 1 2 7 5 27
defici 0 38 0 3 1
yeutter 0 13 27 2 0
circul 0 2 26 13 1
softwar 0 0 0 23 19
gaf 0 0 0 40 2
seriou 5 11 8 12 5
gmt 6 4 15 11 5
bankruptci 8 0 0 16 17
spokeswoman 8 3 3 23 4
elabor 8 1 9 14 9
calcul 6 12 6 4 13
conduct 5 4 14 7 11
defer 1 0 0 9 31
paul 3 1 13 22 2
advantag 6 8 5 12 10
satisfi 4 3 14 16 4
behind 4 2 23 2 10
moder 4 8 22 3 4
steadi 5 9 23 1 3
icahn 1 0 0 40 0
receipt 3 0 1 27 10
afg 0 0 0 38 3
vessel 18 13 0 9 0
santo 22 0 0 14 4
mt 1 8 0 29 2
war 22 4 7 7 0
tuesday 9 6 13 9 3
break 9 8 8 4 11
turkey 34 6 0 0 0
speak 9 7 14 4 6
opposit 10 5 12 12 1
aircraft 6 0 0 17 17
nomin 2 0 5 11 22
riyal 13 0 18 0 9
calif 1 0 0 36 3
feel 7 6 16 8 3
implement 9 12 11 2 6
cours 7 5 9 16 3
hear 6 8 1 21 4
wednesday 6 3 18 10 3
conclud 4 6 5 23 2
licenc 8 28 3 0 1
italian 3 3 10 22 2
harri 3 0 6 26 5
redeem 2 3 1 19 15
maximum 8 17 2 10 3
wide 1 4 20 7 8
nuclear 2 2 1 12 23
ratio 0 8 7 6 19
merril 0 2 6 28 4
volcker 0 0 40 0 0
portfolio 0 0 10 10 20
bankamerica 0 0 2 21 17
nv 0 0 2 19 19
one-for 0 0 0 8 32
angel 0 0 0 36 4
citicorp 0 0 0 34 6
norstar 0 0 0 40 0
ferruzzi 0 0 0 40 0
fire 14 7 0 10 8
bidder 4 0 6 29 0
imperi 8 0 0 11 20
tell 3 8 9 17 2
aegean 39 0 0 0 0
resolv 7 3 9 14 6
foster 3 0 36 0 0
texaco 39 0 0 0 0
valley 2 1 0 23 13
forward 5 5 17 4 8
larger 9 3 7 12 8
resist 12 6 10 11 0
uncertainti 6 4 9 5 15
tradit 8 3 12 4 12
state-own 9 2 0 20 8
underli 3 0 30 4 2
devalu 4 1 34 0 0
flat 2 1 8 1 27
degre 14 18 2 3 2
e.f 1 1 0 37 0
appreci 1 0 24 4 10
overnight 0 9 23 7 0
concentr 0 3 3 20 13
philippin 0 2 4 30 3
reynold 0 0 1 28 10
wagner 0 0 0 32 7
siemen 0 0 0 35 4
dynam 0 0 0 22 17
done 2 9 13 9 5
hostil 2 0 0 32 4
appar 8 3 12 14 1
railroad 2 2 0 31 3
turkish 30 0 8 0 0
pursu 3 1 6 24 4
primarili 4 6 0 8 20
mid 12 8 4 8 6
compens 9 10 1 6 12
tie 2 2 9 14 11
threaten 15 7 10 6 0
exchequ 3 1 34 0 0
sent 9 6 2 18 3
repeat 6 3 17 7 5
merchant 2 8 3 19 6
core 1 0 5 20 12
supplier 12 7 0 15 4
singl 3 8 10 10 7
match 4 1 8 21 4
document 1 2 4 26 5
shortli 0 4 11 18 5
chain 0 0 1 26 11
compon 0 0 0 22 16
wendy' 0 0 0 35 3
renault 0 0 0 35 3
size 4 5 7 15 6
michael 3 3 3 15 13
resum 12 3 6 4 12
actual 7 13 7 5 5
earthquak 35 0 0 0 2
cumul 2 8 1 14 12
speech 11 3 11 6 6
subsid 1 34 1 1 0
smaller 12 4 8 10 3
evalu 6 2 1 26 2
provinc 4 31 2 0 0
global 3 5 10 10 9
summer 7 18 0 7 5
narrow 2 5 26 2 2
benefici 1 1 4 26 5
circumst 4 2 8 14 9
oecd 16 15 6 0 0
mm 0 30 0 3 4
rainbow 0 0 0 36 1
leverag 0 0 0 35 2
fujitsu 0 0 0 37 0
hongkong 0 0 0 7 30
pesch 0 0 0 37 0
instal 14 0 1 12 9
shamrock 14 0 0 14 8
cancel 14 5 0 8 9
peak 10 1 16 3 6
thought 5 8 16 6 1
alloc 7 2 18 4 5
huge 12 3 12 7 2
louisiana 14 8 0 7 7
sought 3 4 6 19 4
bad 3 6 5 4 18
stay 7 4 11 8 6
parliament 9 3 18 6 0
we'r 2 12 4 13 5
promis 7 7 14 8 0
relief 20 6 3 4 3
difficulti 10 3 8 7 8
index 7 4 23 0 2
lake 2 8 1 12 13
went 6 3 2 3 22
upon 2 2 4 21 7
diversifi 3 0 1 18 14
traffic 2 8 0 11 15
plastic 3 0 0 23 10
onc 5 4 7 14 6
challeng 3 3 1 23 6
rank 1 2 2 20 11
aggress 3 1 16 5 11
charter 1 4 0 19 12
bear 0 3 7 12 14
martin 0 0 3 21 12
interst 0 0 0 25 11
debit 0 0 0 0 36
threat 14 8 5 2 6
diamond 15 0 0 11 9
missil 33 0 0 2 0
greek 34 1 0 0 0
militari 18 0 3 9 5
optimist 11 3 2 2 17
won 3 7 12 1 12
eastern 8 11 2 12 2
segment 2 0 0 6 27
directli 3 4 9 14 5
destin 5 26 0 3 1
whose 6 1 5 16 7
him 7 2 9 16 1
univers 2 0 2 26 5
percentag 2 5 12 10 6
t 3 1 1 22 8
there' 2 7 8 14 4
spanish 1 22 4 5 3
sentiment 6 2 26 1 0
philip 1 0 4 17 13
bulk 3 18 4 5 5
singapor 4 0 7 11 13
advisor 0 0 1 29 5
jacob 0 0 0 29 6
distributor 0 0 0 21 14
divest 0 0 0 30 5
laboratori 0 0 0 9 26
medium 4 4 8 5 13
entiti 2 5 2 22 3
thursday 4 7 13 8 2
pump 20 1 0 12 1
calendar 2 12 3 2 15
creditor 5 0 5 17 7
curb 14 3 13 4 0
strength 2 0 13 7 12
stress 3 9 13 4 5
differenti 13 14 7 0 0
arm 5 6 2 16 5
statu 11 3 6 9 5
headquart 5 0 0 25 4
hill 5 2 0 16 11
argentin 4 29 0 0 1
rig 32 0 0 0 2
sach 1 0 0 29 4
convers 1 2 2 16 13
stood 1 3 16 1 13
rival 1 0 1 31 1
jersey 2 1 0 27 4
privately-held 1 0 0 32 1
duti 0 19 0 10 5
adequ 0 15 9 6 4
trump 0 0 0 29 5
hanson 0 0 0 33 1
honeywel 0 0 0 24 10
inject 5 0 21 4 3
repair 29 1 0 3 0
yen' 1 0 20 3 9
nazer 33 0 0 0 0
million 4 5 4 5 15
royalti 9 0 1 7 16
readi 10 5 7 9 2
explain 5 2 10 10 6
visit 10 9 9 4 1
extrem 2 2 24 1 4
salomon 4 0 3 18 8
assur 3 4 1 17 8
korea 3 10 19 0 1
engag 3 4 4 20 2
hike 4 0 1 4 24
advers 1 5 8 5 14
gradual 5 8 13 1 6
stronger 4 1 15 4 9
reopen 8 10 0 12 3
pass 1 15 8 5 4
und 0 14 0 9 10
enrol 0 33 0 0 0
dot 0 1 0 32 0
dismiss 0 0 4 25 4
previously-announc 0 0 0 28 5
conrac 0 0 0 33 0
resign 0 0 0 24 9
mart 0 0 0 12 21
jardin 0 0 0 1 32
complex 10 3 3 9 7
practic 3 7 6 11 5
department' 5 24 0 3 0
weekend 6 5 12 7 2
zone 16 1 15 0 0
crisi 16 2 11 0 3
draw 17 4 6 2 3
poor 1 15 2 2 12
highli 3 4 7 17 1
nation' 9 2 8 9 4
goal 5 5 13 3 6
radio 8 1 0 21 2
mexico 18 7 1 3 3
surpris 2 1 12 14 3
w 4 3 0 20 5
consult 6 5 4 15 2
acceler 3 1 10 11 7
qualiti 5 14 2 4 7
michigan 1 1 0 20 10
event 2 4 8 15 3
amstutz 0 32 0 0 0
zealand 0 7 2 20 3
ounc 0 0 2 23 7
gencorp' 0 0 0 32 0
redston 0 0 0 32 0
l.p 0 0 0 25 7
peabodi 0 0 0 25 7
happen 5 3 6 12 5
cargo 13 13 0 3 2
intermedi 20 6 0 1 4
coastal 6 2 1 21 1
method 4 1 4 2 20
defenc 14 1 1 11 4
critic 8 6 6 9 2
biggest 10 2 2 8 9
tariff 12 10 9 0 0
upward 3 7 17 1 3
old 9 2 6 6 8
slip 7 1 15 3 5
particular 2 4 12 3 10
wholesal 2 1 2 14 12
charl 4 8 0 16 3
carrier 5 3 0 17 6
idea 4 8 11 8 0
repli 9 4 8 8 2
alleg 1 2 0 21 7
floor 2 21 7 1 0
wage 3 4 19 3 2
baird 2 0 0 29 0
insid 1 1 3 22 4
counter 1 1 7 19 3
downward 4 4 17 1 5
schlumberg 4 0 0 27 0
treasury' 4 0 27 0 0
noth 5 7 5 11 3
carl 1 0 0 29 1
temperatur 0 30 0 1 0
taiwan' 0 9 22 0 0
elev 0 27 1 3 0
imbal 0 2 27 1 1
flour 0 29 0 2 0
cold 0 29 0 1 1
deutsch 0 0 5 12 14
interim 0 0 6 5 20
writeoff 0 0 2 1 28
boliden 0 0 0 25 6
brand 0 0 0 17 14
advertis 0 0 0 21 10
drug 0 0 0 19 12
guin 0 0 0 24 7
kind 10 4 6 9 1
scale 7 5 4 10 4
centr 1 1 10 7 11
kuwaiti 27 0 3 0 0
consortium 7 0 1 18 4
optim 14 2 4 3 7
risen 4 5 14 0 7
client 4 0 5 14 7
throughout 3 7 3 8 9
algeria 10 19 1 0 0
away 4 4 10 6 6
influenc 3 3 12 7 5
signal 4 2 21 2 1
disappoint 1 5 6 14 4
realli 1 4 13 9 3
rainfal 0 30 0 0 0
portland 0 17 0 10 3
miguel 0 2 0 28 0
introduct 0 4 8 3 15
pharmaceut 0 0 0 13 17
wholly-own 0 0 0 25 5
klm 0 0 0 30 0
after-tax 0 0 0 8 22
u 0 0 0 29 1
sgl 0 0 0 29 1
realti 0 0 0 8 22
backlog 0 0 0 2 28
reed 1 0 0 28 0
ecuador' 29 0 0 0 0
basin 17 2 0 5 5
eventu 10 1 5 9 4
s.a 5 1 0 15 8
troubl 8 3 4 8 6
debat 4 11 11 3 0
georg 3 11 1 10 4
auditor 1 0 0 2 26
reiter 10 0 3 9 7
flexibl 2 0 11 5 11
rep 1 25 0 3 0
van 1 5 0 6 17
deregul 9 1 6 4 9
examin 4 6 1 14 4
incur 1 0 2 8 18
conting 1 0 0 19 9
labor 4 1 4 7 13
nor 4 4 3 17 1
eia 29 0 0 0 0
outright 1 0 28 0 0
extent 5 4 6 8 6
describ 2 2 6 17 2
broad 3 3 11 7 5
strongli 6 5 7 3 8
silver 2 1 2 16 8
invit 2 2 19 4 2
sweeten 0 16 0 13 0
oat 0 19 0 8 2
nov 0 2 0 3 24
shultz 0 28 0 1 0
republ 0 4 0 19 6
competitor 0 2 2 16 9
wireless 0 0 2 26 1
imf 0 0 29 0 0
h.k 0 0 2 7 20
litig 0 0 0 18 11
general 0 0 0 19 10
franklin 0 0 0 3 26
recapit 0 0 0 7 22
suspens 8 1 5 0 14
impos 9 10 6 2 1
succeed 6 0 7 10 5
iraqi 28 0 0 0 0
appoint 8 1 1 17 1
exampl 6 10 5 4 3
african 3 7 0 16 2
e 2 1 0 15 10
slide 5 2 18 1 2
travel 2 4 5 13 4
never 9 3 6 4 6
postpon 8 3 3 13 1
unusu 3 8 3 1 13
media 2 2 0 11 13
modest 5 3 9 2 9
extern 2 1 21 1 3
nova 12 0 0 12 4
delta 1 1 0 24 2
indiana 2 9 0 5 12
usual 1 14 7 1 5
glickman 0 28 0 0 0
est 0 5 3 17 3
cbt 0 28 0 0 0
rebat 0 27 0 0 1
lambert 0 1 0 17 10
kiichi 0 0 28 0 0
manhattan 0 0 3 21 4
heller 0 0 18 10 0
unsolicit 0 0 0 28 0
audio 0 0 0 25 3
rexnord 0 0 0 27 1
diagnost 0 0 0 22 6
allied-lyon 0 0 0 12 16
ual 0 0 0 19 9
columbia 0 0 0 5 23
att 0 0 0 3 25
highest 8 7 4 3 5
km 21 0 0 2 4
coordin 4 1 21 1 0
decre 4 0 2 21 0
play 7 1 11 6 2
aggreg 1 0 2 20 4
weaken 1 0 16 1 9
arriv 14 11 1 1 0
egypt 6 20 1 0 0
thu 3 2 14 5 3
qatar 18 0 9 0 0
strait 21 0 0 3 3
my 5 6 7 7 2
month' 2 2 22 1 0
yesterday' 3 3 11 4 6
ralli 19 1 6 0 1
mainten 9 1 0 12 5
pioneer 3 0 2 21 1
lose 4 6 8 3 6
prompt 3 8 6 5 5
florida 1 1 0 17 8
asian 6 2 9 9 1
live 4 8 10 3 2
district 1 4 2 17 3
d 2 0 0 20 5
germany' 1 0 17 7 2
bay 7 0 0 14 6
jump 4 4 4 4 11
suffici 2 2 5 10 8
donald 2 0 0 20 5
lucki 1 1 0 18 7
truck 1 1 0 10 15
fob 0 26 1 0 0
elig 0 25 0 2 0
one-tim 0 2 0 3 22
mulford 0 0 27 0 0
plaza 0 0 22 4 1
gy 0 0 0 25 2
bhp 0 0 0 14 13
commonwealth 0 0 0 19 8
tran 0 0 0 25 2
cgct 0 0 0 27 0
oak 0 0 0 15 12
ford 0 0 0 4 23
henley 0 0 0 19 8
gelco 0 0 0 21 6
cathay 0 0 0 0 27
deliv 7 12 0 7 0
recess 9 1 10 4 2
therefor 3 5 5 6 7
abroad 3 1 12 3 7
got 2 5 3 8 8
spent 7 1 3 10 5
shop 1 0 1 13 11
asia 2 4 4 5 11
outlin 2 7 5 9 3
bullish 14 3 7 0 2
tight 6 4 14 0 2
quickli 2 3 8 8 5
co' 1 0 0 14 11
alon 2 1 16 4 3
disast 1 22 1 0 2
beyond 2 0 4 11 9
assess 3 8 7 5 3
promot 4 9 8 1 4
bahrain 5 0 21 0 0
red 1 15 1 1 8
placement 1 0 2 16 7
levi 5 18 1 2 0
subsequ 3 5 4 9 5
room 2 5 14 5 0
handl 1 14 0 9 2
la 3 9 0 11 3
assumpt 4 2 4 13 3
lawsuit 1 0 0 19 6
roll 0 10 6 1 9
argentina 0 24 0 1 1
clayton 0 5 7 14 0
drexel 0 2 0 17 7
focu 0 3 7 12 4
undervalu 0 0 19 5 2
baldrig 0 0 6 20 0
princevil 0 0 0 25 1
cyl 0 0 0 26 0
balli 0 0 0 14 12
revlon 0 0 0 18 8
bil 0 0 0 26 0
int'l 0 0 0 15 11
shoe 0 0 0 18 8
harcourt 0 0 0 25 1
mannesmann 0 0 0 22 4
wti 25 0 0 0 0
diplomat 10 3 6 3 3
opec' 25 0 0 0 0
lowest 4 12 5 2 2
ensur 5 4 6 5 5
trigger 4 2 11 8 0
failur 7 0 6 8 4
oilfield 16 0 0 8 1
soar 4 2 9 6 4
panel 1 11 4 8 1
shortfal 9 1 13 0 2
discoveri 16 0 0 5 4
northwest 5 7 0 10 3
tighten 4 5 15 0 1
disclosur 2 1 4 17 1
peter 4 3 3 8 7
uncertain 1 6 6 4 8
anyth 6 2 13 1 3
rapid 1 2 13 5 4
zero 3 14 5 3 0
lack 9 6 4 3 3
inspect 2 21 0 1 1
argu 2 7 8 7 1
pti 1 2 0 16 6
drive 1 3 8 8 5
surg 1 3 17 0 4
behalf 2 0 9 14 0
unknown 0 22 1 0 2
oilse 0 25 0 0 0
copper 0 1 0 7 17
varieti 0 8 1 13 3
dairi 0 8 0 4 13
deadlin 0 3 4 16 2
specifi 0 2 6 15 2
underwrit 0 3 1 12 9
scienc 0 1 0 11 13
circuit 0 1 0 15 9
lira 0 0 25 0 0
pizza 0 0 1 23 1
bull 0 0 1 9 15
kodak 0 0 0 18 7
dow 0 0 0 13 12
film 0 0 0 13 12
norcro 0 0 0 25 0
cenergi 0 0 0 22 3
lp 0 0 0 8 17
let 5 3 9 4 3
remaind 2 2 1 12 7
alway 2 6 5 5 6
write 1 2 0 4 17
lloyd 5 1 2 3 13
awar 3 1 5 13 2
complaint 1 7 1 14 1
industrialis 3 3 18 0 0
quit 3 3 10 5 3
address 7 4 6 2 5
count 16 0 2 6 0
congression 3 19 2 0 0
watch 1 2 17 3 1
stanley 2 0 2 11 9
concert 1 0 17 6 0
rebound 3 0 15 0 6
stoltenberg 1 0 22 1 0
goe 5 2 11 5 1
default 2 0 2 4 16
consent 1 0 0 23 0
fit 4 0 3 17 0
stem 3 2 10 5 4
battl 4 2 2 15 1
pictur 1 0 7 11 5
toronto 1 0 1 16 6
spa 5 0 0 17 2
clearli 2 2 14 3 3
formerli 2 0 2 10 10
inadequ 1 4 1 17 1
attend 7 1 12 2 2
bit 2 1 8 8 5
chines 3 11 4 2 4
climb 4 1 3 8 8
apr 4 14 4 0 2
spread 3 6 8 6 1
railway 1 1 2 17 3
jointli 1 1 6 16 0
interbank 1 0 22 0 1
meant 4 5 7 2 6
signup 0 24 0 0 0
grown 0 13 5 4 2
precis 0 3 7 8 6
burnham 0 2 0 14 8
gao 0 24 0 0 0
accumul 0 1 1 14 8
belgian 0 0 10 11 3
exposur 0 0 7 3 14
auto 0 0 2 17 5
rand 0 0 8 1 15
lender 0 0 1 10 13
club 0 0 4 10 10
gm 0 0 0 2 22
proxi 0 0 0 19 5
amus 0 0 0 23 1
lbo 0 0 0 24 0
scientif 0 0 0 11 13
inquiri 1 7 2 8 5
miller 6 7 0 5 5
comparison 3 7 0 0 13
indonesian 14 3 3 1 2
sustain 5 1 7 2 8
escort 23 0 0 0 0
we'v 8 6 3 3 3
king 12 0 0 7 4
chapter 2 0 0 6 15
faster 2 3 11 3 4
pledg 4 3 10 5 1
whi 3 2 7 10 1
attent 3 4 10 3 3
affair 2 2 11 3 5
exclus 4 0 1 14 4
delhi 2 0 0 21 0
moment 7 1 9 5 1
doesn't 5 2 2 10 4
l 1 1 0 20 1
du 1 0 3 12 7
daniel 5 13 0 1 4
wish 8 1 6 7 1
reaffirm 4 0 8 6 5
forese 6 0 4 3 10
environment 4 0 0 13 6
gcc 10 0 13 0 0
liberalis 3 6 13 0 1
hedg 3 1 14 0 5
southeast 4 8 1 7 3
societ 1 0 1 11 10
bueno 0 23 0 0 0
worri 0 5 14 2 2
flood 0 20 2 1 0
cert 0 23 0 0 0
pik 0 22 0 1 0
ontario 0 6 0 17 0
myer 0 5 0 16 2
sum 0 1 1 18 3
park 0 0 1 16 6
newmont 0 0 1 9 13
n.j 0 0 0 19 4
allis-chalm 0 0 0 23 0
oppenheim 0 0 0 18 5
automot 0 0 0 7 16
star 0 0 0 21 2
dalla 0 0 0 18 5
bancshar 0 0 0 14 9
pratt 0 0 0 21 2
divestitur 0 0 0 19 4
wick 0 0 0 16 7
champion 0 0 0 21 2
georgia 3 0 0 4 15
flag 8 2 2 9 1
registr 5 5 0 7 5
warship 22 0 0 0 0
coupl 7 3 6 3 3
deplet 20 0 0 0 2
fallen 7 1 10 0 4
non-perform 2 0 0 1 19
subroto 22 0 0 0 0
someth 1 3 9 6 3
oklahoma 7 8 0 6 1
colorado 2 1 0 11 8
heat 9 3 0 5 5
firm' 1 1 0 12 8
bottom 7 3 3 1 8
norwegian 17 0 1 4 0
ore 2 0 0 19 1
sen 3 17 2 0 0
meter 20 0 0 2 0
chancellor 3 0 19 0 0
so-cal 3 5 7 5 2
finish 6 2 8 3 3
thousand 13 4 0 4 1
relianc 17 0 2 2 1
usag 2 18 0 2 0
two-third 9 5 1 5 2
burden 4 2 9 0 7
ltd' 2 0 6 8 6
cie 2 0 0 9 11
environ 4 1 1 9 7
petro-canada 18 0 0 4 0
picken 8 0 2 11 1
iea 22 0 0 0 0
plain 7 7 0 6 2
sure 6 4 2 4 6
par 2 0 1 4 15
hoechst 1 0 0 3 18
fine 2 0 2 12 6
desir 5 2 6 7 2
friendli 2 3 0 17 0
audit 1 0 0 1 20
bodi 2 2 3 9 6
unsuccess 2 0 1 18 1
golden 2 0 2 16 2
philadelphia 2 0 6 13 1
delawar 1 0 0 16 5
surplus 0 9 13 0 0
usda' 0 22 0 0 0
midwest 0 11 0 8 3
redempt 0 6 0 5 11
snow 0 18 3 0 1
year-earli 0 1 0 0 21
card 0 1 2 11 8
poehl 0 0 22 0 0
revalu 0 0 14 3 5
chase 0 0 6 15 1
fast 0 0 6 9 7
fed' 0 0 21 1 0
metropolitan 0 0 0 20 2
gate 0 0 0 21 1
smc 0 0 0 22 0
rospatch 0 0 0 20 2
tmoc 0 0 0 22 0
tax-fre 0 0 0 3 19
microwav 0 0 0 15 7
jone 0 0 0 19 3
unilev 0 0 0 1 21
schill 0 0 0 0 22
explos 12 4 2 1 2
franchis 1 0 0 16 4
settl 8 1 2 8 2
hernandez 21 0 0 0 0
emir 15 0 6 0 0
exempt 6 11 1 2 1
brief 7 0 4 6 4
answer 3 3 8 4 3
kingdom 7 0 3 7 4
domin 3 5 4 7 2
